names	scores	logfoldchanges	pvals	pvals_adj
Snrpe	8.945774	1.9349618	3.693527426453834e-19	9.494564014216386e-17
Uqcr11	8.938068	1.6674194	3.9603046734326794e-19	1.0022153758570329e-16
Rps18	8.937199	0.84974134	3.9915955320569085e-19	1.0022153758570329e-16
Rpl35a	8.932352	0.9085739	4.170453968120579e-19	1.0350875003865248e-16
Cox6b1	8.9106045	1.1858544	5.07552256800455e-19	1.231413020347441e-16
Tomm7	8.849089	1.4110974	8.823715268000043e-19	2.0937415800211532e-16
Snrpg	8.798633	1.3841581	1.3849298584660604e-18	3.1884133666023757e-16
Tubb5	8.798385	1.9843173	1.388000076231294e-18	3.1884133666023757e-16
Cox5b	8.79652	1.4098535	1.4112419597418045e-18	3.207678698600504e-16
Rpl6	8.719346	0.9240822	2.7981394245261444e-18	6.293773395186775e-16
mt-Nd2	8.677713	0.73299104	4.038036972302182e-18	8.8074073073657595e-16
Mdh2	8.583141	1.4781964	9.231716005772121e-18	1.9353441137149263e-15
Rpl7a	8.5386505	0.9494539	1.3579826692056388e-17	2.7926590263007008e-15
Hmgb1	8.487201	1.7249632	2.1167345023107607e-17	4.2716493559248834e-15
Rpl37a	8.455387	0.58574927	2.7816382963659535e-17	5.460355975766367e-15
Slc25a5	8.444699	1.2487372	3.0482949908545164e-17	5.92989493130825e-15
Rbx1	8.40257	1.4591273	4.368114564262909e-17	8.421490873761518e-15
Rpl19	8.378337	0.92414397	5.368095386801405e-17	1.0257812715681658e-14
H3f3b	8.372496	0.9524545	5.641059644284943e-17	1.0684859727986383e-14
Atp5h	8.357458	1.1838739	6.408385998335993e-17	1.2032719901049488e-14
Cox7c	8.340681	1.0415562	7.386365418572428e-17	1.363194773360978e-14
Eef1b2	8.32639	1.0782278	8.33450255494407e-17	1.5251433361771806e-14
Cox7a2	8.322041	1.2147722	8.646194851193377e-17	1.555810711848488e-14
Usmg5	8.273822	1.2751931	1.2973208012464008e-16	2.3151279389515317e-14
Fabp5	8.260649	2.771316	1.4488297394762458e-16	2.5643098823369325e-14
Atp5e	8.231941	1.0973365	1.8420361163535082e-16	3.233746817920431e-14
Cd74	8.224733	2.512225	1.9562562621492945e-16	3.406567860370138e-14
Rpl27a	8.111147	0.89868283	5.01443742687849e-16	8.593392647506923e-14
Rpl29	8.083309	0.88544095	6.303266014069336e-16	1.0717041184393635e-13
Rps23	8.080948	0.5693233	6.426534154724174e-16	1.0841261875231179e-13
Cd9	8.058951	1.3542228	7.69518268031762e-16	1.2859888745753567e-13
Rps6	8.058206	1.4269826	7.742256920983484e-16	1.2859888745753567e-13
Psmb1	8.052986	1.139148	8.079815176547032e-16	1.331812588604428e-13
Cox6c	8.012597	0.9016305	1.1231138249829217e-15	1.823413294951596e-13
Rpl36a	7.987742	0.78777313	1.374328064776328e-15	2.2146168584115861e-13
Uqcr10	7.880617	1.2949121	3.2576764159541986e-15	5.018726670992721e-13
Atp5j	7.8725395	1.1986605	3.475140158839414e-15	5.284415595057709e-13
Arpp19	7.8538985	1.5892186	4.033013947516581e-15	6.089851060750038e-13
Rpl22	7.847809	0.8343344	4.233688719402702e-15	6.348475035976565e-13
Rpl23	7.840601	0.64875734	4.4839539688346835e-15	6.677380555106712e-13
Rps21	7.8051825	0.8053027	5.941541183707519e-15	8.668628295932193e-13
Ptma	7.77225	0.99905473	7.7104105760756e-15	1.117388560867117e-12
Atpif1	7.717818	1.4349421	1.183382536616965e-14	1.6733752310807377e-12
Snrpd3	7.7175694	1.7403057	1.1856917072910336e-14	1.6733752310807377e-12
Rpl11	7.715208	0.6411877	1.2078511457216058e-14	1.693579856465366e-12
Atp5j2	7.6960697	1.2060301	1.4031528744024338e-14	1.93922883510485e-12
Banf1	7.6954484	1.569262	1.4099890108436134e-14	1.93922883510485e-12
Uqcrq	7.6886134	1.3441198	1.4873834497262433e-14	2.032726001894859e-12
Btf3	7.6226234	1.171027	2.4857112881862863e-14	3.354622740362905e-12
Rps8	7.596029	0.6665171	3.0535671337979514e-14	4.095383547832246e-12
